canonical_id,source_system,source_id,full_name,preferred_name,email,phone,company_canonical_id,is_employee,is_salesperson,relationship,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:contact:001,operion,customer-001-contact-01,Avery Example,Avery,avery.001@example.invalid,,operion:demo:interview-v1:customer:001,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:002,operion,customer-002-contact-01,Blair Example,Blair,blair.002@example.invalid,,operion:demo:interview-v1:customer:002,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:003,operion,customer-003-contact-01,Casey Example,Casey,casey.003@example.invalid,,operion:demo:interview-v1:customer:003,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:004,operion,customer-004-contact-01,Devon Example,Devon,devon.004@example.invalid,,operion:demo:interview-v1:customer:004,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:005,operion,customer-005-contact-01,Emery Example,Emery,emery.005@example.invalid,,operion:demo:interview-v1:customer:005,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:006,operion,customer-006-contact-01,Finley Example,Finley,finley.006@example.invalid,,operion:demo:interview-v1:customer:006,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:007,operion,customer-007-contact-01,Gray Example,Gray,gray.007@example.invalid,,operion:demo:interview-v1:customer:007,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:008,operion,customer-008-contact-01,Harper Example,Harper,harper.008@example.invalid,,operion:demo:interview-v1:customer:008,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:009,operion,customer-009-contact-01,Indigo Example,Indigo,indigo.009@example.invalid,,operion:demo:interview-v1:customer:009,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:010,operion,customer-010-contact-01,Jordan Example,Jordan,jordan.010@example.invalid,,operion:demo:interview-v1:customer:010,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:011,operion,customer-001-contact-02,Kai Example,Kai,kai.011@example.invalid,,operion:demo:interview-v1:customer:001,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:012,operion,customer-002-contact-02,Lane Example,Lane,lane.012@example.invalid,,operion:demo:interview-v1:customer:002,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:013,operion,customer-003-contact-02,Morgan Example,Morgan,morgan.013@example.invalid,,operion:demo:interview-v1:customer:003,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:014,operion,customer-004-contact-02,Noel Example,Noel,noel.014@example.invalid,,operion:demo:interview-v1:customer:004,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:015,operion,customer-005-contact-02,Oakley Example,Oakley,oakley.015@example.invalid,,operion:demo:interview-v1:customer:005,false,false,customer contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:016,operion,supplier-001-contact-01,Parker Example,Parker,parker.016@example.invalid,,operion:demo:interview-v1:supplier:001,false,false,supplier contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:017,operion,supplier-002-contact-01,Quinn Example,Quinn,quinn.017@example.invalid,,operion:demo:interview-v1:supplier:002,false,false,supplier contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:018,operion,supplier-003-contact-01,Riley Example,Riley,riley.018@example.invalid,,operion:demo:interview-v1:supplier:003,false,false,supplier contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:019,operion,supplier-004-contact-01,Sage Example,Sage,sage.019@example.invalid,,operion:demo:interview-v1:supplier:004,false,false,supplier contact,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:contact:020,operion,supplier-005-contact-01,Taylor Example,Taylor,taylor.020@example.invalid,,operion:demo:interview-v1:supplier:005,false,false,supplier contact,simulated,interview-demo-v1,2026-09-15,42
