canonical_id,source_system,source_id,name,roles,primary_contact_source_id,phone,website,address_line_1,address_line_2,city,state,country,postal_code,payment_days,credit_limit,created_at,updated_at,data_class,dataset_version,business_date,seed
wwi:organization:customer:58,wwi,58,"Tailspin Toys (Mappsburg, VA)",customer,1115,(276) 555-0100,http://www.tailspintoys.com/Mappsburg,Shop 177,1736 Han Avenue,Mappsburg,Virginia,United States,90678,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:60,wwi,60,"Tailspin Toys (East Dailey, WV)",customer,1119,(304) 555-0100,http://www.tailspintoys.com/EastDailey,Unit 188,838 Lucescu Street,East Dailey,West Virginia,United States,90548,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:65,wwi,65,"Tailspin Toys (North Cowden, TX)",customer,1129,(210) 555-0100,http://www.tailspintoys.com/NorthCowden,Suite 18,402 Nan Road,North Cowden,Texas,United States,90406,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:88,wwi,88,"Tailspin Toys (Dracut, MA)",customer,1175,(339) 555-0100,http://www.tailspintoys.com/Dracut,Shop 226,609 Sidhu Crescent,Dracut,Massachusetts[E],United States,90519,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:183,wwi,183,"Tailspin Toys (Tierra Verde, FL)",customer,1365,(239) 555-0100,http://www.tailspintoys.com/TierraVerde,Unit 286,927 Yadav Street,Tierra Verde,Florida,United States,90195,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:463,wwi,463,"Wingtip Toys (Cowlington, OK)",customer,2125,(405) 555-0100,http://www.wingtiptoys.com/Cowlington,Shop 57,521 Arslan Street,Cowlington,Oklahoma,United States,90524,7,0.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:840,wwi,840,Rodrigo Figueiredo,customer,3040,(803) 555-0100,http://www.microsoft.com/RodrigoFigueiredo/,Unit 23,1155 Kanepa Road,Blackville,South Carolina,United States,90331,7,2000.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:935,wwi,935,Daevasree Samavedam,customer,3135,(201) 555-0100,http://www.microsoft.com/DaevasreeSamavedam/,Suite 25,1690 Poddar Avenue,Golf View,New Jersey,United States,90503,7,1700.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:961,wwi,961,Rani Ganguly,customer,3161,(209) 555-0100,http://www.microsoft.com/RaniGanguly/,Unit 23,1552 Srbova Road,Arrowhead Highlands,California,United States,90567,7,3600.00,2013-01-01,2013-01-01T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:customer:1011,wwi,1011,Rajeev Sandhu,customer,3211,(458) 555-0100,http://www.microsoft.com/,Shop 9,1768 Suniti Road,Wasco,Oregon,United States,90658,7,4000.00,2013-06-11,2013-06-11T00:00:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:supplier:3,wwi,3,Consolidated Messenger,supplier,25,(415) 555-0100,http://www.consolidatedmessenger.com,,894 Market Day Street,San Francisco,California,United States,94101,30,,2013-01-01T00:05:00,2013-01-01T00:05:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:supplier:6,wwi,6,Humongous Insurance,supplier,31,(423) 555-0105,http://www.humongousinsurance.com,,9893 Mount Norris Road,Lancing,Tennessee,United States,37770,14,,2013-01-01T00:05:00,2013-01-01T00:05:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:supplier:7,wwi,7,"Litware, Inc.",supplier,33,(209) 555-0108,http://www.litwareinc.com,Level 3,19 Le Church Street,Mokelumne Hill,California,United States,95245,30,,2013-01-01T00:05:00,2013-01-01T00:05:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:supplier:8,wwi,8,Lucerne Publishing,supplier,35,(423) 555-0103,http://www.lucernepublishing.com,Suite 34,949482 Miller Boulevard,Jonesborough,Tennessee,United States,37659,30,,2013-01-01T00:05:00,2013-01-01T00:05:00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:organization:supplier:9,wwi,9,Nod Publishers,supplier,37,(252) 555-0100,http://www.nodpublishers.com,Level 1,389 King Street,Elizabeth City,North Carolina,United States,27906,7,,2013-01-01T00:05:00,2013-01-01T00:05:00,public_sample,interview-wwi-v1,2016-05-31,42
